Date,Open,High,Low,Close,Volume,Weekly_Return,Volatility_4W,Search,Interest_MA4,is_fashion_week,Search_Lag_1
2021-09-05,41.59,44.65,40.25,43.49,6320647,0.0457,0.1139,62.0,59.5,False,60.0
2021-09-12,42.8,44.19,41.5,43.4,2712576,-0.0021,0.1152,65.0,61.25,False,62.0
2021-09-19,42.15,42.98,38.77,40.53,4554387,-0.0661,0.0486,64.0,62.75,False,65.0
2021-09-26,40.62,42.52,38.35,39.51,3768890,-0.0252,0.0466,63.0,63.5,True,64.0
2021-10-03,39.0,40.76,37.1,39.88,5310409,0.0094,0.0333,60.0,63.0,True,63.0
2021-10-10,41.36,44.47,39.37,43.54,14645019,0.0918,0.0671,61.0,62.0,False,60.0
2021-10-17,43.91,48.63,42.66,45.9,4021000,0.0542,0.0512,61.0,61.25,False,61.0
2021-10-24,45.9,46.32,41.83,44.98,5283855,-0.02,0.0492,60.0,60.5,False,61.0
2021-10-31,45.16,45.95,42.66,45.21,2587050,0.0051,0.05,62.0,61.0,False,60.0
2021-11-07,44.7,47.8,43.54,46.6,3488087,0.0307,0.032,66.0,62.25,False,62.0
2021-11-14,46.55,48.63,45.62,46.37,8592810,-0.0049,0.0213,64.0,63.0,False,66.0
2021-11-21,46.64,54.01,46.64,53.31,6872411,0.1497,0.0713,73.0,66.25,False,64.0
2021-11-28,52.8,52.8,46.27,46.55,4243128,-0.1268,0.1138,75.0,69.5,False,73.0
2021-12-05,45.39,48.82,44.47,48.54,3813403,0.0427,0.1146,74.0,71.5,False,75.0
2021-12-12,50.81,50.81,46.6,49.38,3160100,0.0173,0.1139,74.0,74.0,False,74.0
2021-12-19,48.63,49.65,45.99,46.32,3159519,-0.062,0.0772,82.0,76.25,False,74.0
2021-12-26,45.39,46.83,42.15,43.86,2550272,-0.0531,0.0517,81.0,77.75,False,82.0
2022-01-02,43.86,46.69,43.4,46.23,1065100,0.054,0.056,79.0,79.0,False,81.0
2022-01-09,45.86,47.01,42.52,42.75,3105087,-0.0753,0.0594,74.0,79.0,False,79.0
2022-01-16,42.61,45.39,41.59,44.14,3800391,0.0325,0.0633,68.0,75.5,False,74.0
2022-01-23,44.14,47.43,41.78,47.11,4967563,0.0673,0.0649,67.0,72.0,False,68.0
2022-01-30,47.06,47.06,42.15,42.89,4438534,-0.0896,0.0779,68.0,69.25,False,67.0
2022-02-06,43.73,46.23,43.73,45.99,766028,0.0723,0.0756,71.0,68.5,False,68.0
