Date,Open,High,Low,Close,Volume,Weekly_Return,Volatility_4W,Search,Interest_MA4,is_fashion_week,Search_Lag_1
2021-11-07,1940.81,2007.58,1893.58,2005.74,4605003,0.041,0.0125,77.0,70.75,False,69.0
2021-11-14,2001.74,2017.72,1765.51,1934.32,10705377,-0.0356,0.0321,79.0,73.25,False,77.0
2021-11-21,1932.32,1994.75,1909.84,1930.82,7125016,-0.0018,0.0324,94.0,79.75,False,79.0
2021-11-28,1950.8,1950.8,1778.99,1780.49,5995741,-0.0779,0.0505,92.0,85.5,False,94.0
2021-12-05,1811.95,1827.44,1739.54,1763.51,6895234,-0.0095,0.0343,85.0,87.5,False,92.0
2021-12-12,1767.01,1875.38,1767.01,1817.95,5024821,0.0309,0.0457,93.0,91.0,False,85.0
2021-12-19,1819.45,1834.43,1704.19,1743.15,7858955,-0.0411,0.0463,100.0,92.5,False,93.0
2021-12-26,1700.69,1788.6,1687.71,1779.61,7202834,0.0209,0.0325,91.0,92.25,False,100.0
2022-01-02,1801.59,1821.07,1785.11,1815.57,1490613,0.0202,0.0329,74.0,89.5,False,91.0
2022-01-09,1870.51,1881.0,1782.61,1784.61,4615598,-0.0171,0.0303,65.0,82.5,False,74.0
2022-01-16,1786.6,1786.6,1717.18,1717.18,6896619,-0.0378,0.029,60.0,72.5,False,65.0
2022-01-23,1723.17,1937.94,1716.43,1923.46,8680941,0.1201,0.0701,61.0,65.0,False,60.0
2022-01-30,1921.46,1942.44,1805.08,1855.03,7900631,-0.0356,0.0757,63.0,62.25,False,61.0
2022-02-06,1879.5,1931.95,1838.05,1868.52,5276123,0.0073,0.074,66.0,62.5,False,63.0
2022-02-13,1881.0,1982.4,1874.01,1973.9,5084319,0.0564,0.0669,65.0,63.75,False,66.0
2022-02-20,1958.92,2039.83,1919.46,2030.84,4751964,0.0288,0.0388,59.0,63.25,True,65.0
2022-02-27,2043.83,2071.8,1901.98,1953.43,7634157,-0.0381,0.0399,61.0,62.75,True,59.0
2022-03-06,1914.97,1958.42,1636.26,1639.26,9603380,-0.1608,0.0968,78.0,65.75,False,61.0
2022-03-13,1567.34,1668.73,1532.87,1568.83,9233878,-0.043,0.0788,66.0,66.0,False,78.0
2022-03-20,1571.83,1719.67,1544.36,1699.2,10985264,0.0831,0.0996,63.0,67.0,False,66.0
2022-03-27,1702.19,1740.15,1627.27,1666.23,7268949,-0.0194,0.1001,61.0,67.0,False,63.0
2022-04-03,1677.22,1786.1,1644.75,1671.73,5335537,0.0033,0.0548,59.0,62.25,False,61.0
2022-04-10,1672.72,1709.69,1582.32,1599.3,5192493,-0.0433,0.0549,64.0,61.75,False,59.0
2022-04-17,1588.31,1621.78,1543.86,1613.79,6132699,0.0091,0.0239,64.0,62.0,False,64.0
2022-04-24,1614.29,1678.22,1568.34,1632.77,9805902,0.0118,0.0259,65.0,63.0,False,64.0
2022-05-01,1588.31,1619.78,1512.39,1589.31,8002563,-0.0266,0.0271,66.0,64.75,False,65.0
2022-05-08,1593.31,1618.28,1498.21,1522.38,4392273,-0.0421,0.0267,61.0,64.0,False,66.0
2022-05-15,1510.9,1581.82,1471.94,1573.33,5851254,0.0335,0.0347,57.0,62.25,False,61.0
2022-05-22,1570.83,1630.27,1543.36,1584.32,7761160,0.007,0.0339,58.0,60.5,False,57.0
2022-05-29,1602.8,1682.71,1527.88,1668.73,7647888,0.0533,0.0413,58.0,58.5,False,58.0
2022-06-05,1680.22,1743.15,1663.4,1699.7,5693675,0.0186,0.02,60.0,58.25,False,58.0
2022-06-12,1734.66,1741.15,1627.77,1634.76,6268878,-0.0382,0.0378,61.0,59.25,False,60.0
2022-06-19,1611.29,1650.75,1580.32,1615.29,7373736,-0.0119,0.0394,59.0,59.5,False,61.0
2022-06-26,1619.28,1697.7,1573.33,1696.2,5117586,0.0501,0.0382,57.0,59.25,False,59.0
2022-07-03,1721.17,1730.16,1597.64,1630.61,4736380,-0.0387,0.0418,55.0,58.0,False,57.0
2022-07-10,1653.59,1669.08,1554.67,1638.1,5942121,0.0046,0.0373,61.0,58.0,False,55.0
2022-07-17,1605.63,1684.06,1527.7,1585.15,11893881,-0.0323,0.0408,58.0,57.75,False,61.0
2022-07-24,1600.64,1735.02,1599.14,1724.03,5922151,0.0876,0.0581,57.0,57.75,False,58.0
2022-07-31,1721.53,1797.97,1676.57,1794.47,4305196,0.0409,0.0512,56.0,58.0,False,57.0
2022-08-07,1793.97,1826.94,1734.02,1774.49,4454617,-0.0111,0.0539,56.0,56.75,False,56.0
2022-08-14,1778.48,1805.46,1763.0,1794.47,5963888,0.0113,0.0426,58.0,56.75,False,56.0
2022-08-21,1794.47,1837.93,1791.47,1813.45,6732010,0.0106,0.0214,59.0,57.25,False,58.0
2022-08-28,1808.46,1822.24,1727.53,1733.52,9317215,-0.0441,0.026,61.0,58.5,False,59.0
